place,population,lat,lon
New York,8175133,40.71455,-74.007124
Los Angeles,3792621,34.052234,-118.243685
Chicago ,2695598,41.878114,-87.629798
Houston,2099451,29.760427,-95.369803
Philadelphia,1526006,39.952584,-75.165222
Phoenix ,1445632,33.448377,-112.074037
San Antonio,1327407,32.715738,-98.493628
San Diego,1307402,32.7150,-117.161084
Dallas ,1197816,32.776664,-96.796988
San Jose,945942,37.338208,-121.886329
Jacksonville,821784,30.2887,-81.391794
Indianapolis,820445,39.766911,-86.149963
Austin,790390,30.265320,-97.739739
San Francisco,805235,37.781157,-122.398720
Columbus,787033,39.961176,-82.998794
Charlotte,731424,35.227087,-80.843127
Detroit,713777,42.408871,-83.002647
El Paso,649121,31.761878,-106.485022
Boston,617594,42.360082,-71.058880
Seattle,608660,47.606209,-122.332071
Denver,600158,39.739236,-104.990251
Baltimore,620961,39.284664,-76.62022
Washington,601723,38.899101,-77.028999
Nashville,601222,36.162664,-86.781602
Louisville,597337,38.252665,-85.758456
Milwaukee,594833,43.038902,-87.906474
Portland,583776,45.52186,-123.882594
Oklahoma City,579999,35.467560,-97.516428
Las Vegas ,583756,36.169941,-115.139830
Albuquerque,545852,35.084179,-106.648643
Tucson,520116,32.2217,-110.9264
Fresno,494665,36.746842,-119.772587
Sacramento,466488,38.581572,-121.594651
Long Beach,462257,33.770050,-118.193739
Kansas City,459787,39.099727,-94.578567
Mesa,439041,33.415184,-111.831472
Atlanta,420003,33.748995,-84.387982
Colorado Springs,416427,38.8673,-104.7607
Raleigh,403892,35.779590,-78.638179
Omaha,408958,41.252363,-95.997988
Miami,399457,25.761680,-80.191790
Cleveland,396815,41.499320,-81.694361
Minneapolis,382578,44.977753,-93.265011
St. Louis,318416,38.627003,-90.199404
Salt Lake City,191180,40.760779,-111.891047
Tallahassee,186411,30.438256,-84.280733
Tampa,352957,27.950575,-82.457178
